id_cliente,Servicos,Data,hora
1,200,2023-08-11,17:00
2,200,2023-02-13,17:00
3,250,2024-09-28,17:00
4,220,2024-11-23,17:00
5,250,2023-01-27,17:00
6,190,2024-07-25,17:00
7,200,2023-02-09,17:00
7,200,2024-10-12,17:00
8,200,2023-12-11,17:00
8,200,2024-11-11,17:00
10,200,2023-05-13,17:00
11,250,2024-01-09,17:00
12,450,2024-08-31,17:00
13,200,2023-04-03,17:00
14,190,2022-09-30,17:00
15,220,2024-02-16,17:00
16,370,2023-06-12,17:00
17,290,2022-11-26,17:00
17,290,2024-03-13,17:00
18,240,2024-06-22,17:00
19,260,2024-11-28,17:00
20,250,2024-11-21,17:00
21,350,2022-10-22,17:00
21,350,2024-01-31,17:00
22,500,2023-09-06,17:00
23,260,2024-07-20,17:00
24,260,2023-03-01,17:00
25,650,2022-11-05,17:00
26,260,2025-01-14,17:00
27,345,2024-08-17,17:00
28,260,2023-12-20,17:00
29,1250,2023-02-11,17:00
30,264,2023-11-07,17:00
31,180,2022-12-21,17:00
31,180,2023-12-11,17:00
31,200,2024-11-11,17:00
32,850,2023-09-30,17:00
32,850,2024-08-24,17:00
32,850,2025-04-26,17:00
33,300,2022-11-26,17:00
34,300,2022-12-20,17:00
34,390,2025-01-21,17:00
35,376,2024-12-17,17:00
36,390,2024-08-17,17:00
37,274,2023-06-02,17:00
38,220,2023-09-11,17:00
39,0,2024-03-04,17:00
40,360,2024-11-25,17:00
41,250,2023-04-01,17:00
42,252,2023-10-30,17:00
43,240,2024-06-22,17:00
44,330,2023-12-22,17:00
45,250,2023-10-21,17:00
45,250,2024-10-02,17:00
46,295,2025-07-01,17:00
47,220,2024-10-12,17:00
48,464,2023-09-30,17:00
49,295,2024-08-14,17:00
50,220,2024-01-18,17:00
51,240,2023-11-24,17:00
52,240,2024-07-15,17:00
53,310,2025-02-10,17:00
54,260,2025-01-13,17:00
55,230,2023-10-20,17:00
56,280,2024-06-22,17:00
57,262,2023-09-28,17:00
58,190,2022-11-29,17:00
59,150,2022-10-24,17:00
60,290,2024-01-25,17:00
61,220,2023-10-10,17:00
62,240,2022-11-04,17:00
62,240,2023-01-11,17:00
62,240,2024-08-26,17:00
62,240,2025-05-24,17:00
63,437,2025-01-07,17:00
64,220,2023-09-29,17:00
65,297,2023-10-19,17:00
66,250,2023-02-08,17:00
67,250,2023-02-06,17:00
68,290,2022-11-02,17:00
68,290,2025-02-28,17:00
69,450,2022-11-05,17:00
69,450,2024-04-20,17:00
69,450,2025-01-08,17:00
70,220,2023-12-01,17:00
71,280,2023-10-21,17:00
72,0,2024-01-18,17:00
73,0,2023-09-15,17:00
74,330,2023-10-21,17:00
74,330,2024-10-02,17:00
75,580,2024-10-12,17:00
76,310,2024-10-02,17:00
77,250,2022-12-06,17:00
78,180,2022-12-03,17:00
78,180,2024-10-12,17:00
79,266,2023-11-23,17:00
80,280,2024-11-23,17:00
81,250,2022-10-17,17:00
81,280,2024-08-17,17:00
82,320,2024-02-22,17:00
83,350,2022-09-29,17:00
84,210,2024-03-07,17:00
85,270,2024-08-15,17:00
86,330,2024-09-28,17:00
87,240,2025-03-22,17:00
88,300,2022-11-26,17:00
88,310,2024-02-07,17:00
89,550,2023-06-27,17:00
90,240,2023-11-06,17:00
91,290,2024-10-05,17:00
92,270,2023-08-16,17:00
93,242,2024-01-15,17:00
93,240,2024-09-02,17:00
94,190,2022-12-01,17:00
94,220,2024-10-26,17:00
95,0,2023-08-05,17:00
96,1000,2024-01-25,17:00
97,0,2023-08-10,17:00
98,350,2025-03-22,17:00
99,230,2024-11-01,17:00
100,200,2022-10-18,17:00
100,220,2023-10-13,17:00
101,240,2023-10-25,17:00
